id,name,address,latitude,longitude,review_count,rating,zip_code,insertedAtTimestamp
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,40 W 56th St,40.76292,-73.976546,806,4.5,10019,2023-02-27T00:25:06.061917Z
HduEOz0RSK91GDr8EoxELw,Shun Lee - 98th ST,2596 Broadway,40.79576833206957,-73.97059000000002,5,5.0,10025,2023-02-27T00:25:06.062917Z
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,334 W 46th St,40.76015,-73.9893699,1633,4.0,10036,2023-02-27T00:25:06.062917Z
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,215 W 85th St,40.78752,-73.97647,695,4.0,10024,2023-02-27T00:25:06.062917Z
BNaveJmi-OUGKG9sRfrIhA,Mr. Sun,48 W 48th St,40.75809,-73.98026,189,4.5,10036,2023-02-27T00:25:06.062917Z
h0pRCiJDrCN7tm3VX5tILQ,CHILI,13 E 37th St,40.75002,-73.98215,583,4.5,10016,2023-02-27T00:25:06.062917Z
Ece_DRuD1yQjRPJBAebRpw,Kung Fu Little Steamed Buns Ramen,146 E 55th St,40.7592514705491,-73.9694294705987,376,3.5,10022,2023-02-27T00:25:06.062917Z
EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,24 W 56th St,40.76278,-73.97589,546,4.0,10019,2023-02-27T00:25:06.062917Z
UK1oGbr8GU2rufpnJR4-HQ,Joe's Home of Soup Dumplings,7 E 48th St,40.75723,-73.97702,390,4.5,10017,2023-02-27T00:25:06.062917Z
1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,204E 58th St,40.76063,-73.96664,363,3.5,10022,2023-02-27T00:25:06.062917Z
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,90 3rd Ave,40.732072,-73.988074,1347,4.0,10003,2023-02-27T00:25:06.062917Z
xq0cX_DgxiJMXwhmEl9kUA,Café China,59 W 37th St,40.75157,-73.98584,1857,4.0,10018,2023-02-27T00:25:06.062917Z
R3UNnA8EbjhNWBHS0wJ0VA,Grand Sichuan Eastern,1049 2nd Ave,40.75831,-73.96636,275,3.5,10022,2023-02-27T00:25:06.062917Z
4FD0TAxe70nb3ngk3sXF9Q,Uluh,152 2nd Ave,40.7293403,-73.9866071,795,4.5,10003,2023-02-27T00:25:06.062917Z
wDuf4Qz9qsC62amLZgWNJQ,Little Alley,550 3rd Ave,40.74744,-73.97728,494,4.0,10016,2023-02-27T00:25:06.062917Z
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,360 W 42nd Street,40.7582902125633,-73.9925113993899,541,4.0,10036,2023-02-27T00:25:06.062917Z
gJXNSJ9VXTuCFmp_Kl9TVQ,Shanghai,1388 2nd Ave,40.768291,-73.958381,127,4.0,10021,2023-02-27T00:25:06.062917Z
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,23 St Marks Pl,40.72911,-73.98858,590,4.5,10003,2023-02-27T00:25:06.062917Z
FcXsiSJbk2ZnHyFJMkMK3g,Mala Kitchen,7 E 47th St,40.756545,-73.977673,6,3.5,10017,2023-02-27T00:25:06.062917Z
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,1378 3rd Ave,40.773951,-73.957927,509,4.0,10075,2023-02-27T00:25:06.062917Z
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,46 Bowery St,40.7156608,-73.9967012,7053,4.0,10013,2023-02-27T00:25:06.062917Z
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,314 E 70th St,40.76701,-73.95846,266,4.5,10021,2023-02-27T00:25:06.062917Z
oJ6fy4fBv_3WskxH4NfNBg,Chef Huang Jian Bing & Peking Duck,635 2nd Ave,40.74531205210646,-73.9757772,44,4.5,10016,2023-02-27T00:25:06.062917Z
0dDCDQz7DrKkSvu9h2hcQw,Chow House,181 Bleecker St,40.72915,-74.00072,586,4.5,10012,2023-02-27T00:25:06.062917Z
sRWRA4dcN_NR1JGpuRVouA,Nan Xiang Xiao Long Bao - Manhattan,24 W 33rd St,40.74822527534694,-73.9857786,284,4.5,10001,2023-02-27T00:25:06.062917Z
YDZX2bJ1IyV0lunBYqbb4w,New Chinatown  Asian Cuisine/ Bar,1650 3rd Ave,40.782945,-73.95132,4,4.5,10128,2023-02-27T00:25:06.062917Z
p4xNh2NAy85Br77XaomFOw,OOHU,128 W 36th St,40.751493955047785,-73.9883517,4,5.0,10018,2023-02-27T00:25:06.062917Z
pCfGgX0WxGASGM4-Yhr2Pw,Hao Noodle Chelsea,343 W 14th St,40.7406999,-74.00436,579,4.5,10014,2023-02-27T00:25:06.062917Z
8plXW6ZQI1awPu1scms3jQ,Silky Kitchen,138 W 46th St,40.757889,-73.984009,66,4.5,10036,2023-02-27T00:25:06.062917Z
gNGxh97n0NZgYG1Q_no9Kg,Potluck Club,133 Chrystie St,40.71952,-73.99333,131,4.5,10002,2023-02-27T00:25:06.062917Z
kXYTWVIPTnCukSo2jfxZ8A,East River Eatery,408 E 64th St,40.7623,-73.959115,76,4.5,10065,2023-02-27T00:25:06.062917Z
M-4J09S14mPsH1EJrnR1Og,Yemen chuanchuan 爺们串串 爷们串串,105 W27 St,40.745733,-73.99132,8,4.5,10001,2023-02-27T00:25:06.062917Z
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,320 Lexington Ave,40.74922,-73.97785,303,4.5,10016,2023-02-27T00:25:06.062917Z
s5JNxy0eAFgxS2Poi73ODw,Mala Project,41 W 46th St,40.756899,-73.980586,499,4.0,10036,2023-02-27T00:25:06.062917Z
HOfNVzn45dwctTOCLVPj2g,So Do Fun,155 3rd Ave,40.73415,-73.98633,40,4.5,10003,2023-02-27T00:25:06.062917Z
-lgNzAEyFr8LCTuBTWnAMg,Dim Sum Palace,28 W 56th St,40.762765496672955,-73.97609185077448,427,4.0,10019,2023-02-27T00:25:06.062917Z
SFleMiroXTeWnXfonRic-w,Fast Wok,260 Brook Ave,40.808,-73.9187199,8,4.0,10454,2023-02-27T00:25:06.062917Z
qrncvjkiKN5Z-JC06ygy6A,Hutong,731 Lexington Ave,40.761551,-73.967443,480,3.5,10022,2023-02-27T00:25:06.062917Z
fbxOVzLvmIB13_5adb1hfQ,Our New Place,242 E 79th St,40.77347,-73.95576,23,4.0,10075,2023-02-27T00:25:06.062917Z
l1nX-f46dmOEmYPoiuLSaw,Peking Duck House,236 E 53rd St,40.756912,-73.968109,511,3.5,10022,2023-02-27T00:25:06.062917Z
QaolMEijS7L6eodSneOdng,Tri Dim Shanghai West,467 Columbus Ave,40.78412,-73.97368,206,4.0,10024,2023-02-27T00:25:06.062917Z
