id,name,address,latitude,longitude,review_count,rating,zip_code
x0k5kFArHLijdY8-NEQ7Xg,Bengal Tiger Indian Food,58 W 56th St,40.763167,-73.977131,2264,4.5,10019
u_CnSp9FieAuWqhvCn-A2A,Spice Mantra,1047 2nd Ave,40.75825,-73.96633,62,4.5,10022
m5Whyz8O8jM4DrE808h71g,Darbar Grill,157 E 55th St,40.759357,-73.968826,577,4.0,10022
QqrEF8_ZQCGi63cL10J5oA,Chola,232 E 58th St,40.76016,-73.96582,665,4.0,10022
1_pK5aQ47atF50oAKHADhA,Indian Accent,123 W 56th St,40.7643344624229,-73.9787312885132,698,4.5,10019
5UowQyu8tSljomOP-VL7NA,Tribhaanga,234 W 56th St,40.765496,-73.982754,10,5.0,10019
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,150 E 50th St,40.7558937072754,-73.9715347290039,630,4.5,10022
9pMhRYYgV7E9L7pzECtJKA,The Drunken Munkey - UES,338 E 92nd St,40.78098,-73.94751,1290,4.5,10128
HEs6llkn3wIP1ATXeIZQew,Pippali,129 E 27th St,40.74233,-73.98331,862,4.0,10016
z2VXX7wGl8XZ6_oo9W3koA,Patiala Indian Grill,371 W 34th St,40.7534700430117,-73.99595067259492,543,4.5,10001
3hlAeWgSKAnSQ1tg8k8D8g,Alachi Masala,488 Amsterdam Ave,40.786196,-73.976448,272,4.0,10024
jf3JRaxUYU93x8LFU-8gkA,GupShup,115 E18th St,40.7368323318866,-73.9877132715179,604,4.0,10003
ut-560tVcs2g-ZU0Y_qqHQ,Saar Indian Bistro,241 W 51st St,40.7626659,-73.9847093,353,4.5,10019
Xqk91WuhMeYS4pedccUYgA,Gazab,179 Essex St,40.72191,-73.98666,204,4.5,10002
izRJeBfDQYJmd6ibIQ6Mfg,Mughlai Indian Cuisine,1724 2nd Ave,40.78002,-73.94978,603,4.5,10128
50eKjWOB-H9iuo1ocACOaQ,Imli Urban Indian Food,1136 1st Ave,40.7616660604253,-73.9601389691234,240,4.5,10065
mZALre3ahuetu5X8_uUJew,Thelewala,112 Macdougal St,40.72963,-74.00068,531,4.0,10012
xWVHj2XNcxEg79Nkb5Zb6Q,Semma,60 Greenwich Ave,40.736054206102615,-74.0005639,222,4.0,10011
Txm8KtUh9Mn2E7980jTr5g,Dhamaka,119 Delancey St,40.7180658,-73.9881304,354,4.0,10002
objNX6cuj1JyUijFjw21Qw,Bombay Bistro,31 Cornelia St,40.73136,-74.00253,255,4.5,10014
7USPKYeaAfxl0Ch9j_1l7A,Moti Mahal Delux,1149 1st Ave,40.76213,-73.9605,552,4.0,10065
qhXIW0LDT4XsoN2IE6dZHg,Ahimsa,204 E 38th St,40.7478959,-73.9758638,196,4.5,10016
t6PzD4uzBOfyCLcd_lT8cQ,Sathi,216 3rd Ave,40.73621,-73.98528,270,4.5,10003
IU6pOHR8Re8kvSn0mzhPHg,Jaz Indian Cuisine,813 Ninth Ave,40.7659,-73.98741,123,4.5,10019
HFIu45xr93jqchnN1YVJeQ,Masalawala & Sons,365 5th Ave,40.67148382626093,-73.9842655,39,4.0,11215
Z_fT0KLZV3y80LHUMlmbig,Khiladi NYC,175 Avenue B,40.727536,-73.97926,192,4.5,10009
ZikqL-flwV2XYlKtL2UfmA,Rangoli Exquisite Indian Cuisine,1393 A 2nd Ave,40.7693,-73.95823,497,4.5,10021
XKy4Cy4uNgO7rxhH4yFJQQ,Mughlai Indian Cuisine,329 3rd Ave,40.739692,-73.982116,449,4.0,10010
Xl-zlT0NLLiKhym88em22w,Adda Indian Canteen,31-31 Thomson Ave,40.745011,-73.934243,535,4.0,11101
eTzH9lmkmouNlmuJ77i8Ow,Angaar,283 Columbus Ave,40.7782,-73.97802,183,4.0,10023
ECUTH1VOWxZ9GwfzblMKzA,Mughlai Indian Cuisine,255 W 55th St,40.765394,-73.983272,160,4.5,10019
