id,name,address,latitude,longitude,review_count,rating,zip_code
qY1o1MhoRyN84RRhUJtvpQ,Her Name Is Han,17 E 31st St,40.7462615966797,-73.984733581543,1690,4.5,10016
lSQAmoQtmciUld36ogOoOw,Cho Dang Gol Korean Restaurant,55 W 35th St,40.7502365112305,-73.986198425293,1409,4.0,10001
xZ96vaoL-cQjfotmUKtjJQ,Barn Joo 35,34 W 35th St,40.74964,-73.98582,2332,4.0,10001
ggIzrvCArIHWIBIGJlzUPQ,Seoul St Midtown,1521 L St,38.57640638207569,-121.4864538315563,152,4.5,95814
nMyot99PkX5iYCdxHoRJqQ,ARIARI,119 1st Ave,40.727283504010266,-73.9858313,72,5.0,10003
VvsZAnEwU4c8Xkyrzx05Nw,Anytime Kitchen ,23 W 32nd St,40.74776270790539,-73.9867793576711,2520,4.5,10001
orYWYTk6kNK1YODsADk_tg,The Jin,856 10th Ave,40.768541,-73.988734,475,4.5,10019
ogCC-lJJYnwXDvKGmKZ6Sw,Woorijip,12 W 32nd St,40.74747,-73.98648,2825,4.0,10001
FeSynfcDT4qB2kDixHUQCA,Danji,346 W 52nd St,40.764,-73.98686,1083,4.0,10019
_jVOqHgcLxAOyA6uJE5Llg,KOBA Korean BBQ,918 3rd Ave,40.7593004088879,-73.9685673,70,4.5,10022
V95hnN4N2vw1ph2mDxIA7w,Olle,11 E 30th St,40.74564,-73.9855,31,4.5,10016
EKkHfSYTm266-ZBve3SdgA,Yoon Haeundae Galbi,8 W 36th St,40.74996750318778,-73.98443095513923,685,4.5,10018
FZpm4_fbd6P984foOUejWg,Jongro BBQ,22 W 32nd St,40.747514,-73.986884,2439,4.0,10001
js7pXIr0lGoTd_6HPMPckg,Okdongsik,13 E 30th St,40.74561,-73.98543,106,4.5,10016
gXnC_aZR09BvqEQKGKFjBg,BCD Tofu House,5W 32nd St,40.747509,-73.986079,2382,4.0,10001
IjQ2yGUKkvP0JIldT9vRFQ,Take31,15 E 31st St,40.7463,-73.984809,829,4.5,10016
DfrYMusGA-e5lPrv4mNRXg,The Nook NYC,199 2nd Ave,40.7314,-73.98589,40,5.0,10003
_saXnBy0Wq2Gb3YusWZhqw,Five Senses,9 W 32nd St,40.747573158626,-73.9863122632311,1665,4.0,10001
vpkUUhs6dCnGeD-Vz0D29Q,Sam Sunny,517 2nd Ave,40.74156,-73.97846,114,4.5,10016
xtxcAUvrD4dWHJd0cwvW1A,JeJu Noodle Bar,679 Greenwich St,40.73304,-74.00734,885,4.0,10014
xQag1K9NezcXdXXn2AZcqA,KJUN,154 E 39th St,40.74897,-73.97633,73,4.5,10016
X8yEmEDD9ZTkHoIRFqzcRw,Osamil,5 West 31st St,40.74697,-73.9864,612,4.5,10001
OFc7aHP1chwqXTgtYtbJzQ,NARO,610 5th Ave,40.758234,-73.978014,16,4.5,10020
FizBsTIAJwNrImIG1mPDcg,Barn Joo,35 Union Sq W,40.73684,-73.99069,1855,4.0,10003
md5mjDamLsh1uxHDU9PfGA,Mr Mista Oh,41 W 24th St,40.74324,-73.99123,160,4.5,10010
fVbUVAiLiGgLA_nxBFxyww,Thursday Kitchen,424 E 9th St,40.72761,-73.98373,1697,4.5,10009
fNKYBpQJivICm0ORb3nb_Q,8282,84 Stanton St,40.72161,-73.98875,130,4.5,10002
KiXm1maUAxSKhBG4KKiKlA,PALPAL,128 Madison Ave,40.74568,-73.98466,104,4.0,10016
wfGFM8zvdw9Zs-jxsTdjww,Soju Haus,315 5th Ave,40.7468603,-73.9851724,647,4.0,10016
VLYShTGh-tjJ4n4mD02M9w,Mokbar,601 Lexington Ave,40.75878,-73.97048,19,3.5,10022
i-HGZmxvw-4PwSNO4uumpg,Rice Thief,40-05 Skillman Ave,40.74746067928405,-73.92321919999999,3,5.0,11104
An1_BlhLJDZomxI91SBv7g,Oiji Mi,17 W 19th St,40.73966,-73.99247,116,4.5,10011
fVsH6QIJPzXpVbgmeiolsA,Jungsik,2 Harrison St,40.7188032533572,-74.0090829725856,730,4.5,10013
mnXrPqOVbX_06D9OAo4dLA,Atti,294 Livingston St,40.68841151989921,-73.98289919999999,35,4.5,11217
psqD5se4A0sv9Zn3PyUlcg,K-Bap,62 W 56th St,40.76332,-73.97717,482,4.0,10019
e5wK3I_THzF4Ce_OgoSCQw,Mokyo,109 St Marks Pl,40.72714401116084,-73.98395721296154,292,4.5,10009
c06A8F4Z3hP5tJ2VetxCjA,Hahm Ji Bach,40-11 149th Pl,40.763106,-73.814917,1291,4.0,11354
